GET http://localhost:8080/tienda1/imagenes/3.gif HTTP/1.1
,Connection: close


,
,POST http://localhost:8080/tienda1/publico/entrar.jsp HTTP/1.1
,User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
,Pragma: no-cache
,Cache-control: no-cache
,0.9,text/plain;q=0.8,image/png,*/*;q=0.5
,Accept-Encoding: x-gzip, x-deflate, gzip, deflate
,0.5, *;q=0.5
,Accept-Language: en
,Host: localhost:8080

F59AD9FFCB5FEA2EF47D7BC15DFD728A
,Content-Type: application/x-www-form-urlencoded
,Connection: close
,Content-Length: 33
,,,,,,,
